Sr No,Name,Category,Nature of Activities,Mail ID,Current Advisor Name,Suggested Advisors,Student Life PoC
1,Abhinaya ,Society,To develop and foster a more sustainable and stable dance environment on the Ashoka campus.,dancesociety@ashoka.edu.in ,Justin McCarthy,Reena Gupta,Anand
2,Unmask,Club,"A supportive space for neurodivergent students to connect, share, and thrive as their authentic selves.",life@ashoka.edu.in,,Reena Gupta,Minha
3,The Common Room,Club,"The Common Room is a welcoming space where friends gather, relax, and share meaningful conversations.",thecommonroom@ashoka.edu.in,-,Arvinder Singh,Minha
4,Untangled ,Club,"Untangled is a crochet club that teaches, creates, and fosters a community through crochet projects.",untangled@ashoka.edu.in,-,Arvinder Singh,Minha
5,The Green Room,Club,"The club promotes inclusive, experimental theater, producing original stories reflecting diverse cultures for campus and competitions.",theatresociety@ashoka.edu.in,"Abhinaya Penneswaran, Professor",Ambica Chaturvedi,Anand
6,Navrang,Club,"The club promotes film appreciation through screenings, discussions, workshops, and collaborative filmmaking projects on campus.",filmsoc@ashoka.edu.in,Abir Bazaz,Ambica Chaturvedi,Anand
7,AUISA,Club,"The club promotes multicultural learning, global engagement, and student welfare.",auisa@ashoka.edu.in,-,Mercia Prince,Minha
8,The Northeast Collective,Club,"The club provides a space to appreciate and raise awareness about Northeast culture, history, and diversity.",northeastcollective@ashoka.edu.in,Swargjyoti Gohain,Mercia Prince,Minha
9,Langup,Club,A community for language enthusiasts to learn and enhance languages through peer-oriented learning.,langup@ashoka.edu.in,Alexander Philips,Vineet S,Nitin
10,Ashoka MUN,Club,Ashoka MUN aims to promote a Model United Nations culture on campus through participation in simulated UN conferences at various institutions.,ashoka.mun@ashoka.edu.in,Ananya Sharma,Vineet S,Anand
11,Hallyu,Club,"Our in-house club welcomes fans and non-fans of all things Korean, from music to fashion.",hallyu@ashoka.edu.in,Debayan Gupta,,Minha
12,Art & Design Collective,Club,"To create a space at Ashoka where students can connect, collaborate, and learn from each other about art and design.",adc@ashoka.edu.in ,Rakhi Peswani,,Nitin
13,Hindvi,Club,"The club promotes Hindustani language, art, literature, music, and heritage through events and engagement.", hindiurdu@ashoka.edu.in,Abir Bazaz,Karan Bhola,Nitin
14,The Comics Sans,Club,"A haven for all comic and graphic novel enthusiasts to celebrate stories, art, and imagination.",life@ashoka.edu.in,,Karan Bhola,Minha
15,Rotaract,Club,Rotaract is the chapter organisation of Rotary International.,rotaract@ashoka.edu.in,Ekanto Ghosh,Annie Mathew,Nitin
16,Hum Raahi,Club,"A travel initiative by Ashokan students aimed at promoting a culture of travel experiences that blend heritage, culture, and history.",humraahi@ashoka.edu.in,-,Annie Mathew,Anand
17,Feminist Forum,Club,"A collective dedicated to dialogue, solidarity, and action towards gender equality and justice.",life@ashoka.edu.in,,Gitanjali Rana,Minha
18,Her Campus Ashoka,Club,"A global college journal for students, particularly women, serving as a guide to college life.",hcashoka@ashoka.edu.in,"Saman Waheed, Sreya Roy Chowdhury",Gitanjali Rana,Minha
