Category,Club/Society,Tags
Social Impact,Neev,"community outreach, teaching, mentorship, education, social impact"
Social Impact,Pawsitive,"dogs, animal welfare, strays, pet care"
Social Impact,Rotaract,"volunteering, donation, community service, NGO, social impact"
Social Impact,Enactus,"social entrepreneurship, sustainability, women empowerment, business"
Social Impact,Ruhi,"teaching english, staff welfare, literacy, education, social impact"
Social Impact,AUSDG,"sustainability, recycling, SDGs, environment, social impact"
Performing & Visual Art ,Vistaar,"music, singing, choir, a cappella, performing arts"
Performing & Visual Art ,Abhinaya,"dance, Indian dance, Western dance, garba, performing arts"
Recreational Arts/Hobby,Eeshto,"board games, gaming, "
Performing & Visual Art ,The Green Room,"theatre, acting, drama, stage, performing arts"
Performing & Visual Art ,The Comic Relief,"comedy, stand-up, improv, sketch"
Performing & Visual Art ,Khayaal,"filmmaking, cinema production, videography, movies"
Performing & Visual Art ,Navrang,"film appreciation, movie screenings, cinema"
Performing & Visual Art ,CLAD,"fashion, makeup, styling, design"
Professional Development,Ashoka Investment Club,"investing, stock market, finance, financial analysis"
Professional Development,Ashoka Women in Business & Leadership,"women in business, leadership, mentorship, professional growth"
Professional Development,Ashoka Fintech Club,"fintech, financial technology, banking tech"
Professional Development,Impact Finance Club ,"Finance, impact, "
Professional Development,Ashoka Consulting Club,"consulting, case competitions, problem-solving, strategy"
Culture,AUISA,"international students, multicultural, global exchange, culture"
Culture,The Northeast Collective,"Northeast India culture, regional identity, awareness"
Collective,Ashoka Feminist Forum,"feminism, gender issues, awareness"
Collective,The Common Room,"LGBTQ+, queer community, pride, safe space"
Recreational Arts/Hobby,Ashoka Farm Fresh,"gardening, organic farming, kitchen garden, sustainability"
Recreational Arts/Hobby,Mad Batter,"baking, cakes, desserts, cooking"
Culture,The Anime Club,"anime, manga, Japanese pop culture"
Culture,Hallyu,"K-pop, K-drama, Korean culture, Hallyu"
Collective,Kalinga Magazine,"satire, humor writing, campus commentary, publication"
Collective,Unmask - Neurodiversity Collective,"neurodiversity, inclusion"
Recreational Arts/Hobby,Hum Rahi,"travel, trips, heritage exploration, tourism"
Recreational Arts/Hobby,Caperture,"photography, photo editing, visual storytelling"
Writing and ,Orators,"public speaking, debate practice, oratory, communication"
Recreational Arts/Hobby,Her Campus Ashoka,"women's writing, lifestyle blogging, journalism, storytelling"
Recreational Arts/Hobby,CODA,"yearbook, graduation memories, photography, mugshots"
Recreational Arts/Hobby,Art & Design Collective,"visual art, painting, design, creativity"
Recreational Arts/Hobby,Untangled,"crochet, knitting, handmade crafts"
Recreational Arts/Hobby,Siyahi,"art, installations, rangoli, painting"
Recreational Arts/Hobby,Kaagazi,"origami, paper folding, crafts"
Professional Development,Ashoka Debating Union,"debate, parliamentary debating, critical thinking"
Professional Development,Ashoka MUN,"Model UN, MUN, diplomacy, negotiation"
Recreational Arts/Hobby,Quizzing Club,"quizzing, trivia, general knowledge"
Recreational Arts/Hobby,Comic Sans,"comics, graphic novels, illustration"
Culture,LangUp,"languages, linguistics, language exchange"
Culture,Hindvi,"Hindi-Urdu, Hindustani literature, poetry"
Writing and ,Red Brick Words,"spoken word, poetry, slam poetry, creative writing"
